year,estimate
1946,0.009
1947,0.021
1948,0.021
1949,0.029
1950,0.022
1951,0.022
1952,0.014
1953,0.002
1954,0.013
1955,0.017
1956,0.000
1957,0.021
1958,0.007
1959,0.002
1960,0.000
1961,0.000
1962,0.004
1963,0.002
1964,0.000
1965,0.000
1966,0.000
1967,0.006
1968,0.005
1969,0.000
1970,0.004
1971,0.000
1972,0.000
1973,0.000
1974,0.094
1975,0.241
1976,0.028
1977,0.090
1978,0.056
1979,0.006
1980,0.151
1981,0.020
1982,0.013
1983,0.000
1984,0.000
1985,0.007
1986,0.008
1987,0.000
1988,0.000
1989,0.020
1990,0.000
1991,0.009
1992,0.003
1993,0.036
1994,0.000
1995,0.000
1996,0.000
1997,0.004
1998,0.006
1999,0.003
2000,0.013
2001,0.035
2002,0.017
2003,0.024
2004,0.005
2005,0.021
2006,0.048
2007,0.063
2008,0.033
2009,0.050
2010,0.036
2011,0.046
2012,0.091
2013,0.069
2014,0.058
2015,0.026
2016,0.042
2017,0.011
2018,0.008
2019,0.008
2020,0.007
